Country,Currency,Code,Start date,End date,Conversion,Note
RS,"Yugoslav ""Hard"" Dinar",YUD,01/01/1966,01/01/1990,1 YUD = 100 YUF,Yugoslavia
RS,"Yugoslav ""Convertible"" Dinar",YUN,01/01/1990,01/07/1992,"1 YUN = 10,000 YUD",Yugoslavia
RS,"Yugoslav ""Reformed"" Dinar",YUR,01/07/1992,01/10/1993,1 YUR = 10 YUN,Serbia and Montenegro
RS,"Yugoslav ""October"" Dinar",YUO,01/10/1993,01/01/1994,"1 YUO = 1,000,000 YUR",Serbia and Montenegro
RS,"Yugoslav ""1994"" Dinar",YUG,01/01/1994,24/01/1994,"1 YUG = 1,000,000,000 YUO",Serbia and Montenegro
RS,New Dinar,YUM,24/01/1994,04/02/2003,"1 YUM = 1 DEM ≈ 13,000,000 YUG",Serbia and Montenegro
RS,Serbia and Montenegro Dinar,CSD,04/02/2003,03/06/2006,1 CSD = 1 YUM,
RS,Serbian Dinar,RSD,03/06/2006,,1 RSD = 1 CSD,
SK,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
SK,Austro-Hungarian Kronen,ATK,1892-08-02,25/02/1919,1 ATK = 1 ATG,Austria-Hungary
SK,Czechoslovak Koruna (Pre-World War II),CSO,25/02/1919,01/03/1939,1 CSO = 1 ATK,Czechoslovakia
SK,Slovak Koruna,SKO,01/03/1939,01/05/1945,1 SKO = 1 CSO = 0.1 DER [0.086 from 1940-10-01],
SK,German Reichsmark,DER,01/03/1939,01/05/1945,1 DER = 10 SKO [11.62 from 1940-10-01] = 10 CSO,German occupation
SK,Hungarian Pengő,HUP,01/03/1939,01/05/1945,1 HUP = 7 CSO,Hungarian occupation
SK,Czechoslovak Koruna (Pre-World War II),CSO,08/05/1945,01/10/1945,,Czechoslovakia
SK,Czechoslovak Old Koruna,CSC,01/10/1945,01/06/1953,1 CSC = 1 SKO = 1 CSO,Czechoslovakia
SK,Czechoslovak Koruna,CSK,01/06/1953,31/12/1992,1 CSK = 5 CSC,Czechoslovakia
SK,Slovak Koruna,SKK,01/01/1993,16/01/2009,1 SKK = 1 CSK,
SK,Euro,EUR,01/01/2009,,1 EUR = 30.126 SKK,
SI,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
SI,Austro-Hungarian Kronen,ATK,1892-08-02,12/11/1918,1 ATK = 0.5 ATG,Austria-Hungary
SI,Yugoslavian Kronen,YUK,25/11/1918,25/12/1918,1 YUK = 1 ATK,Yugoslavia
SI,Yugoslavian Dinar (Pre-World War II),YUS,25/12/1918,17/04/1941,1 YUS = 4 YUK,Yugoslavia
SI,Italian Lira,ITL,17/04/1941,1945,1 ITL = 100/38 YUS,Italian occupation
SI,German Reichsmark,DER,17/04/1941,1945,1 DER = 20 YUS,German occupation
SI,Yugoslav Federation Dinar,YUF,30/04/1945,31/12/1965,1 YUF = 20 YUS,Yugoslavia
SI,"Yugoslav ""Hard"" Dinar",YUD,01/01/1966,01/01/1990,1 YUD = 100 YUF,Yugoslavia
SI,"Yugoslav ""Convertible"" Dinar",YUN,01/01/1990,23/12/1991,"1 YUN = 10,000 YUD",Yugoslavia
SI,Tolar,SIT,08/10/1991,01/01/2007,1 SIT = 1 YUN,
SI,Euro,EUR,01/01/2007,,1 EUR = 239.640 SIT,
ES,Spanish Peseta,ESP,1868-10-19,28/02/2002,1 ESP = 1 FRG,
ES,Euro,EUR,01/01/1999,,1 EUR = 166.386 ESP,
SE,Riksdaler Riksmynt,SEM,1855-02-03,1873-05-27,,
SE,Swedish Krona,SEK,1873-05-27,,1 SEK = 1 SEM,
CH,Swiss Franc,CHF,1850-05-07,,1 CHF = 1 FRG,
UK,Pound Sterling,GBP,1694-07-27,,,
